"Genus","Cost.USD","Time.since.introduction"
"Aedes",138950016.977054,0
"Aedes",166602601.563076,1
"Aedes",176812347.140526,2
"Aedes",187009400.650965,3
"Aedes",203291901.22065,4
"Aedes",503948603.444663,5
"Aedes",660628421.351967,6
"Aedes",663599878.313684,7
"Aedes",663905402.653587,8
"Aedes",664460723.965645,9
"Aedes",664766248.305549,10
"Aedes",665591064.165439,11
"Aedes",754526763.222563,12
"Aedes",766350331.549166,13
"Aedes",796321633.739926,14
"Aedes",1193635822.8699,17
"Aedes",1214016313.18417,18
"Aedes",1279209039.32754,19
"Aedes",1393003437.70526,20
"Aedes",1952463440.41883,21
"Aedes",2002289313.36937,22
"Aedes",2052020186.31991,23
"Aedes",2101751059.27045,24
"Aedes",2110857962.55275,25
"Aedes",2120059441.5952,26
"Aedes",2129657369.60344,27
"Aedes",2139917069.3809,28
"Aedes",2149023972.6632,29
"Aedes",2158130875.9455,30
"Aedes",2219159008.80975,32
"Aedes",2232363883.80975,36
"Aedes",2427863732.26593,40
"Anoplophora",84928253.405891,0
"Anoplophora",254033241.796946,1
"Anoplophora",423841415.575089,2
"Anoplophora",593649589.353232,3
"Anoplophora",763457763.131375,4
"Anoplophora",934389985.557742,5
"Anoplophora",1062791102.11674,6
"Anoplophora",1191192218.67575,7
"Anoplophora",1314510209.27948,8
"Anoplophora",1437828199.88321,9
"Anoplophora",1560952645.68659,10
"Anoplophora",1600376523.24631,11
"Anoplophora",1639324234.06452,12
"Anoplophora",1639572368.42395,13
"Anoplophora",1639820502.78339,14
"Cenchrus",741.671404103645,0
"Cenchrus",4305.81619980999,1
"Cenchrus",5021.31469719287,2
"Cenchrus",5303.02657992984,3
"Cenchrus",5596.77181503095,4
"Cenchrus",5654.65246100998,5
"Cenchrus",12522.2536818836,8
"Cenchrus",19389.8549027572,9
"Cenchrus",924952.551212625,10
"Cenchrus",1830515.24752249,11
"Cenchrus",2736077.94383236,12
"Cenchrus",3641640.64014223,13
"Cenchrus",4547203.33645209,14
"Cenchrus",5452766.03276196,15
"Cenchrus",6358328.72907183,16
"Cenchrus",7263891.4253817,17
"Cenchrus",8169454.12169157,18
"Cenchrus",9075016.81800143,19
"Cenchrus",9980579.5143113,20
"Cenchrus",9997415.87358616,21
"Cenchrus",10005584.3120865,22
"Cenchrus",10014636.0493299,23
"Cenchrus",10032665.42711,24
"Cenchrus",10056139.9438182,25
"Cenchrus",10074184.5512347,26
"Cenchrus",10107018.0546161,27
"Cenchrus",10116719.7999725,28
"Cenchrus",10128284.7126002,29
"Cenchrus",10135152.3138211,30
"Salvinia",78353.1911256581,0
"Salvinia",155859.140417501,1
"Salvinia",231887.968649954,2
"Salvinia",335757.476896771,3
"Salvinia",439626.985143588,4
"Salvinia",543496.493390405,5
"Salvinia",571337.17340477,6
"Salvinia",599177.853419134,7
"Salvinia",627018.533433498,8
"Salvinia",654859.213447863,9
"Salvinia",682699.893462227,10
"Salvinia",710540.573476592,11
"Salvinia",738381.253490956,12
"Salvinia",766221.93350532,13
"Salvinia",794062.613519685,14
"Salvinia",821903.293534049,15
"Salvinia",849743.973548414,16
"Salvinia",877584.653562778,17
"Salvinia",905425.333577142,18
"Salvinia",933266.013591507,19
"Salvinia",961106.693605871,20
"Salvinia",988947.373620236,21
"Salvinia",1016788.0536346,22
"Salvinia",1044628.73364896,23
"Salvinia",1072469.41366333,24
"Salvinia",1100310.09367769,25
"Salvinia",1128150.77369206,26
"Salvinia",1155991.45370642,27
